Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,MSRP,Avg. MPG
BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,35150,28.5
BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,40950,28.0
Audi,200,1990,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000,18.0
Audi,200,1990,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,2000,18.5
Audi,200,1990,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,2000,19.0
Audi,200,1991,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,2000,19.0
Audi,200,1991,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,2000,19.0
Audi,200,1991,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000,18.0
Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25170,29.5
Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23950,29.5
Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29370,23.5
Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,21995,29.5
Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,26625,29.5
Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,30825,23.5
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,21995,29.5
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27795,29.5
Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31785,23.5
Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29905,23.5
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,22490,29.5
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27570,29.5
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25690,29.5
Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,24490,29.5
Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29905,23.0
Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31785,23.0
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,26685,29.5
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,22490,29.5
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25690,29.5
Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,30900,23.0
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27795,29.5
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,21995,29.5
Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,24490,29.5
Nissan,200SX,1996,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,31.0
Nissan,200SX,1996,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,31.0
Nissan,200SX,1996,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,25.0
Nissan,200SX,1997,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,25.0
Nissan,200SX,1997,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,30.0
Nissan,200SX,1997,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,30.0
Nissan,200SX,1998,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,30.0
Nissan,200SX,1998,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000,30.0
Nissan,200SX,1998,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2073,24.0
Nissan,240SX,1996,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3713,22.5
Nissan,240SX,1996,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3520,22.5
Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3910,22.5
Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,4182,22.5
Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,4107,22.5
Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,4299,22.5
Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,4693,22.5
Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,4107,22.5
Volvo,240,1991,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,2000,22.5
Volvo,240,1991,regular unleaded,114.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,2000,20.5
Volvo,240,1991,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,2000,22.5
Volvo,240,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,2000,22.5
Volvo,240,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,2000,22.5
Volvo,240,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,2000,22.5
Volvo,240,1993,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,2000,22.5
Volvo,240,1993,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,2000,21.5
Mazda,2,2012,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,16020,32.0
Mazda,2,2012,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,14530,32.0
Mazda,2,2012,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,16860,31.0
Mazda,2,2012,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,15370,31.0
Mazda,2,2013,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,17050,31.0
Mazda,2,2013,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,15560,31.0
Mazda,2,2013,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,16210,32.0
Mazda,2,2013,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,14720,32.0
Mazda,2,2014,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,17050,31.0
Mazda,2,2014,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,15560,31.0
Mazda,2,2014,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,16210,32.0
Mazda,2,2014,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,14720,32.0
BMW,3 Series Gran Turismo,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,47250,25.0
BMW,3 Series Gran Turismo,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,41850,27.5
BMW,3 Series Gran Turismo,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,41850,27.5
BMW,3 Series Gran Turismo,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,43000,28.0
BMW,3 Series Gran Turismo,2016,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,49200,25.0
BMW,3 Series Gran Turismo,2017,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,49650,25.0
BMW,3 Series Gran Turismo,2017,premium unleaded (required),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,43950,28.0
BMW,3 Series,2015,premium unleaded (required),241.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,41950,27.5
BMW,3 Series,2015,premium unleaded (required),335.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,50150,29.0
BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,37500,29.0
BMW,3 Series,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,43750,26.5
BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,39500,27.5
BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,39500,27.5
BMW,3 Series,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,34950,29.0
BMW,3 Series,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,45750,25.0
BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,43450,37.0
BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,37500,29.0
BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,41000,37.0
BMW,3 Series,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,32950,30.0
BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,41850,35.0
BMW,3 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,47800,27.5
BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,39850,37.0
BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,38350,28.0
BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,40350,28.0
BMW,3 Series,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,38350,28.0
BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,42650,28.0
BMW,3 Series,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,33150,30.0
BMW,3 Series,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,35150,29.0
BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,44150,35.0
BMW,3 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,45800,27.5
BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,38750,28.5
BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,35450,28.5
BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,33450,29.0
BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,40750,28.0
BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,42250,35.0
BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,42950,28.0
BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,40250,37.0
BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,49900,26.0
BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,47900,26.5
BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,44450,35.0
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,2232,17.0
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,2000,17.5
Mercedes-Benz,300-Class,1991,regular unleaded,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2000,19.5
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,2105,17.5
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,2199,16.5
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2000,19.0
Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,2124,17.0
Mercedes-Benz,300-Class,1991,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3552,17.5
Mercedes-Benz,300-Class,1991,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,2179,18.5
Mercedes-Benz,300-Class,1991,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2000,26.5
Mercedes-Benz,300-Class,1992,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2000,26.0
Mercedes-Benz,300-Class,1992,regular unleaded,228.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,2377,15.5
Mercedes-Benz,300-Class,1992,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3814,18.0
Mercedes-Benz,300-Class,1992,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,2207,17.0
Mercedes-Benz,300-Class,1992,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,2000,17.5
Mercedes-Benz,300-Class,1992,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,2248,18.0
Mercedes-Benz,300-Class,1992,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2065,19.0
Mercedes-Benz,300-Class,1992,diesel,148.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,2547,20.0
Mercedes-Benz,300-Class,1992,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,2282,16.5
Mercedes-Benz,300-Class,1992,regular unleaded,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2000,20.5
Mercedes-Benz,300-Class,1993,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,2544,17.0
Mercedes-Benz,300-Class,1993,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,2397,19.5
Mercedes-Benz,300-Class,1993,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2000,26.5
Mercedes-Benz,300-Class,1993,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,4174,17.5
Mercedes-Benz,300-Class,1993,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2187,19.5
Mercedes-Benz,300-Class,1993,diesel,148.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,2729,20.0
Mercedes-Benz,300-Class,1993,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,2433,17.0
Mercedes-Benz,300-Class,1993,regular unleaded,194.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2247,20.0
Mercedes-Benz,300-Class,1993,regular unleaded,228.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,2540,16.0
Mitsubishi,3000GT,1997,regular unleaded,218.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,3941,20.0
Mitsubishi,3000GT,1997,regular unleaded,161.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,3295,19.5
Mitsubishi,3000GT,1997,regular unleaded,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,6008,19.0
Mitsubishi,3000GT,1998,regular unleaded,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,6710,19.0
Mitsubishi,3000GT,1998,regular unleaded,161.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,3701,19.5
Mitsubishi,3000GT,1998,regular unleaded,218.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,4671,20.0
Mitsubishi,3000GT,1999,regular unleaded,218.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,5306,20.0
Mitsubishi,3000GT,1999,regular unleaded,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,7600,19.0
Mitsubishi,3000GT,1999,regular unleaded,161.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,4090,19.5
Chrysler,300,2015,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,37570,22.5
Chrysler,300,2015,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31695,25.0
Chrysler,300,2015,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,38070,25.0
Chrysler,300,2015,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,44895,22.5
Chrysler,300,2015,regular unleaded,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,35070,25.0
Chrysler,300,2015,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,42395,25.0
Chrysler,300,2015,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,34195,22.5
Chrysler,300,2015,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,40570,22.5
